asset_id,name,manufacturer,model,year,chassis,os,cpu,installed_ram,drives,condition,source,acquired_date,image,url,summary,notes,disposed
RH-0001,,IBM,PS/1 Model 2121,1991,desktop,,,,3.5-inch 1.44 MB floppy drive,Working,eBay order no. 13-14760-16528,2026-06-13,computers/RH-0001.jpg,https://en.wikipedia.org/wiki/IBM_PS%2F1,"The PS/1 is a brand for a line of personal computers that marked IBM's return to the home market in 1990, five years after the IBM PCjr. It was replaced by the IBM Aptiva in September 1994.",missing faceplate and drive sleds,
RH-0005,,IBM,PS/2 Model 30,1987,desktop,,,,3.5-inch 1.44 MB floppy drive,RAM fault,Fuzzy Lee,2026-06-22,computers/RH-0005.jpg,https://theretroweb.com/motherboards/s/ibm-ps-2-model-30-8530-p-planar,"The Personal System/2 Model 30 and Personal System/2 Model 30 286 are IBM's entry-level desktop computers in their Personal System/2 (PS/2) family of personal computers. As opposed to higher-end entries in the PS/2 line which use Micro Channel bus architecture, the Model 30 features the Industry Standard Architecture (ISA) bus, allowing it to use expansion cards from its direct predecessors, the PC/XT and the PC/AT. The original PS/2 Model 30, released in April 1987, is built upon the Intel 8086 microprocessor clocked at 8 MHz and features the 8-bit ISA bus; the Model 30 286, released in September 1988, features the Intel 80286 clocked at 10 MHz and includes the 16-bit ISA bus.",possibly faulty floppy drive too,
RH-0010,,Compaq,Portable 486/66,1992,luggable,Windows 95,,,3.5-inch 1.44 MB floppy drive,non-working,eBay order 22-14789-40823,2026-06-23,computers/RH-0010.jpg,https://en.wikipedia.org/wiki/Compaq_Portable_486,"The Compaq Portable 486 is a computer released by Compaq Computer Corporation in 1991. It was the last portable computer/""luggable"" released under the Compaq Portable series of computers.",currently under restoration,
RH-0204,,Mitac,MiStation 4052F/M,1992,slimline-desktop,,Intel 486 SX 25,8× 1MB 30-pin (8 MB),3.5-inch 1.44 MB floppy drive; SanDisk Extreme 4GB; Gotek floppy emulator (1.44MB),Working,Fuzzy Lee,2026-06-20,computers/RH-0204.jpg,https://theretroweb.com/motherboards/s/mitac-trigon-pwa-3060d-bd,,,
RH-0215,,Opus,PCV Turbo,1991,desktop,FreeDOS,AMD 286 16,4× 1MB 30-pin (4 MB),"Mitsubishi MF504A-318U (1.2MB); Unknown 3.5"" 1.44MB Floppy Drive; Integral 2GB SD",Restored,Farm Pete,2026-05-09,,,,,
RH-0237,,IBM,PS/2 Model 55SX,1987,desktop,MS DOS 6.22,386 SX 16,2× 2MB 72-pin (4 MB),Custom GOTEK 2.88MB; GOTEK 2.88MB,Working,"Knock Knock Old Geek, Discord",2026-05-16,computers/RH-0237.jpg,https://en.wikipedia.org/wiki/IBM_PS/2_Model_55_SX,"The Personal System/2 Model 55 SX is a midrange desktop computer in IBM's Personal System/2 (PS/2) family of personal computers. First released in May 1989, the Model 55 SX features an Intel 386SX processor running at a clock speed of 16 MHz. In October 1990, IBM introduced a diskless workstation version of the Model 55 SX, called the Personal System/2 Model 55 LS. The Model 55 SX was the best-ever selling computer in the PS/2 range, accounting for 23 percent of IBM's PC sales within four months of its introduction. By 1991, the PS/2 Model 55 SX was the best-selling x86-based PC in the world.",,
RH-0240,Pocket 386,Pocket DOS,386sx-40,2023,laptop,MS-DOS 6.22 + Windows 3.11,Intel 386 SX 40,8MB,3.5in 1.44MB floppy,Working,eBay order no. 08-14770-42519,2026-06-14,,https://www.aliexpress.com/item/1005007440593277.html,,Added from MSD SCAN01. AMIBIOS 0626 07/15/95; ISA/AT bus. Make/model TBD (AMI BIOS clone). D: is a CH375 USB adapter (added). C: ~2GB may be a CF card.,
